objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
,2017.42.11.JPG,,2017.42.11.JPG,image/jpeg,description needed,,,1908,yes,,,,42.68,142.38,,,,,,,,,,,
,2017.42.12.JPG,,2017.42.12.JPG,image/jpeg,description needed,,,1908,yes,,,,42.68,142.38,,,,,,,,,,,
,2017.42.13.JPG,,2017.42.13.JPG,image/jpeg,description needed,,,1908,yes,,,,42.68,142.38,,,,,,,,,,,
,2017.42.14.JPG,,2017.42.14.JPG,image/jpeg,description needed,,,1908,yes,,,,42.68,142.38,,,,,,,,,,,
,2017.42.16.JPG,,2017.42.16.JPG,image/jpeg,description needed,,,1908,yes,,,,42.68,142.38,,,,,,,,,,,
,2017.42.17.JPG,,2017.42.17.JPG,image/jpeg,description needed,,,1908,yes,,,,42.68,142.38,,,,,,,,,,,
,2017.42.18.JPG,,2017.42.18.JPG,image/jpeg,description needed,,,1908,yes,,,,42.68,142.38,,,,,,,,,,,
,2017.42.19.JPG,,2017.42.19.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.2.JPG,,2017.42.2.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.20.JPG,,2017.42.20.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.22.JPG,,2017.42.22.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.23.JPG,,2017.42.23.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.24.JPG,,2017.42.24.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.25.JPG,,2017.42.25.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.27.JPG,,2017.42.27.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.28.JPG,,2017.42.28.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.29.JPG,,2017.42.29.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.3.JPG,,2017.42.3.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.30.JPG,,2017.42.30.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.31.JPG,,2017.42.31.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.4.JPG,,2017.42.4.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.5.JPG,,2017.42.5.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
,2017.42.54.JPG,,2017.42.54.JPG,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
